Phone Title,Screensize,resolution,FrontCam,OS,StorageMB,RAM,Battery mAh,Type,Specs Score,Likes
Tecno F1,5, 854 x 480 pixels,2,OS:Android Go,8,0.5,2000, Li-Ion,27%,98
Nokia 210,2.4, 240 x 320 pixels,8,Android,16,0.5,1020, Li-Ion,11%,7
Nokia 8110 4G,2.4, 240 x 320 pixels,8,NoOS:-,4,0.5,1500, Li-Ion,19%,16
Tecno L8,5.5, 720 x 1280 pixels,2,OS:Android 5.1 Lollipop,16,1,5050, Li-Po,41%,21
Tecno W5 Lite,5.5, 720 x 1280 pixels,2,OS:Android 6.0 Marshmallow,16,1,3000, Li-Ion,39%,18
Tecno L8 Lite,5, 720 x 1280 pixels,2,OS:Android 6.0 Marshmallow,16,1,4000, Li-Ion,38%,24
Tecno L9,5.5, 720 x 1280 pixels,5,OS:Android 7.0 Nougat,16,1,4000, Li-Ion,38%,20
Tecno WX3 P,5, 480 x 854 pixels,5,OS:Android 7.0 Nougat,8,1,5000, Li-Ion,37%,14
Tecno WX3,5, 480 x 854 pixels,5,OS:Android 7.0 Nougat,8,1,2500, Li-Ion,30%,19
Tecno Spark K7,5.5, 720 x 1280 pixels,5,OS:Android 7.0 Nougat,16,1,3000, Li-Ion,44%,119
Tecno W5,5.5, 720 x 1280 pixels,5,OS:Android 6.0 Marshmallow,16,1,3000, Li-Ion,39%,36
Tecno W4 4G,5, 720 x 1280 pixels,2,OS:Android 6.0 Marshmallow,16,1,2500, Li-Ion,34%,28
Tecno W4 3G,5, 720 x 1280 pixels,2,OS:Android 6.0 Marshmallow,16,1,2500, Li-Ion,34%,4
Tecno W3 4G,5, 480 x 854 pixels,2,OS:Android 6.0 Marshmallow,8,1,2500, Li-Ion,30%,11
Tecno W3 3G,5, 480 x 854 pixels,2,OS:Android 6.0 Marshmallow,8,1,2500, Li-Ion,30%,14
Tecno W1,4, 480 x 800 pixels,2,OS:Android 7.0 Nougat,8,1,1800, Li-Ion,26%,18
LG G2 Mini,4.7, 540 x 960 pixels,1.3,OS:Android 4.4.2 Kitkat,8,1,2440, Li-Ion,32%,7
Huawei Y5 II 4G,5, 720 x 1280 pixels,2,OS:Android 5.1 Lollipop,8,1,2200, Li-Po,33%,6
Huawei Y5 II 3G,5, 720 x 1280 pixels,2,OS:Android 5.1 Lollipop,8,1,2200, Li-Po,33%,5
Huawei Y3 II 4G,4.5, 480 x 854 pixels,2,OS:Android 5.1 Lollipop,8,1,2100, Li-Po,27%,7
Huawei Y3 II 3G,4.5, 480 x 854 pixels,2,OS:Android 5.1 Lollipop,8,1,2100, Li-Po,29%,21
HTC Desire 530,5, 720 x 1280 pixels,5,OS:Android 6.0 Marshmallow,16,1.5,2200, Li-Ion,33%,14
HTC Desire 728G,5.5, 720 x 1280 pixels,5,OS:Android 5.1.1 Lollipop,16,1.5,2800, Li-Po,45%,4
Sony Xperia E5,5, 720 x 1280 pixels,5,OS:Android 6.0 Marshmallow,16,1.5,2300, Li-Po,38%,8
Samsung Galaxy Grand Prime Pro,5, 540 x 960 pixels,5,OS:Android 7.1.1 Nougat,16,1.5,2600, Li-Ion,34%,25
Samsung Galaxy Grand Prime Plus,5, 540 x 960 pixels,5,OS:Android 6.0 Marshmallow,8,1.5,2600, Li-Ion,34%,13
Xiaomi Black Shark Helo 10GB256GB,6.01, 1080 x 2160 pixels,20,OS:Android 8.0 Oreo,256,10,4000, Li-Ion,92%,3
OnePlus 6T McLaren,6.41, 1080 x 2340 pixels,16,OS:Android 9.0 Pie,256,10,3700, Li-Po,89%,27
Samsung Galaxy S20 Ultra,6.9, 1440 x 3200 pixels,40,OS:Android 10.0; One UI 2,128,12,5000, Li-Po,100%,70
Samsung Galaxy Note 10 Note 10 Plus 5G 12GB51,6.8, 1440 x 3040 pixels,10,OS:Android 9.0 Pie; One UI,512,12,4300, Li-Ion,100%,34
Samsung Galaxy Note 10 Note 10 Plus 5G 12GB25,6.8, 1440 x 3040 pixels,10,OS:Android 9.0 Pie; One UI,256,12,4300, Li-Ion,92%,73
Samsung Galaxy Note 10 Note 10 Plus 12GB512GB,6.8, 1440 x 3040 pixels,10,OS:Android 9.0 Pie; One UI,512,12,4300, Li-Ion,100%,30
Samsung Galaxy Note 10 Note 10 Plus 12GB256GB,6.8, 1440 x 3040 pixels,10,OS:Android 9.0 Pie; One UI,256,12,4300, Li-Ion,92%,53
Samsung Galaxy Note 10 5G 12GB256GB,6.3, 1080 x 2280 pixels,10,OS:Android 9.0 Pie; One UI,256,12,3500, Li-Ion,88%,11
Lenovo Legion Pro Duel 12GB256GB,6.65, 1080 x 2340 pixels,20,OS:Android 10; Legion OS:,256,12,5000, Li-Po,100%,10
Lenovo Z6 Pro 12GB512GB,6.39, 1080 x 2340 pixels,32,OS:Android 9.0 Pie; ZUI 11,512,12,4000, Li-Po,100%,12
Oppo Reno 3 Pro 12GB256GB,6.5, 1080 x 2400 pixels,32,OS:Android 10; ColorOS: 7,256,12,4025, Li-Po,100%,36
Oppo Reno 3 12GB128GB,6.4, 1080 x 2400 pixels,32,OS:Android 10; ColorOS: 7,128,12,4025, Li-Po,100%,10
Xiaomi Black Shark 2 Pro 12GB256GB,6.39, 1080 x 2340 pixels,20,OS:Android 9.0 Pie,256,12,4000, Li-Ion,100%,17
Xiaomi Black Shark 2 Pro 12GB128GB,6.39, 1080 x 2340 pixels,20,OS:Android 9.0 Pie,128,12,4000, Li-Ion,100%,12
Xiaomi Black Shark 2 12GB256GB,6.39, 1080 x 2340 pixels,20,OS:Android 9.0 Pie,256,12,4000, Li-Ion,100%,14
Oppo Reno 4 Pro 5G 12GB256GB,6.55, 1080 x 2400 pixels,32,OS:Android 10; ColorOS: 7.2,256,12,4000, Li-Po,100%,17
Oppo Find X2 Neo 12GB256GB,6.5, 1080 x 2400 pixels,32,OS:Android 10.0; ColorOS: 7,256,12,4025, Li-Po,100%,8
Oppo Ace 2 12GB256GB,6.55, 1080 x 2400 pixels,16,OS:Android 10; ColorOS: 7.1,256,12,4000, Li-Po,100%,10
Oppo Find X2 Pro 12GB512GB,6.7, 1440 x 3168 pixels,32,OS:Android 10.0; ColorOS: 7.1,512,12,4260, Li-Po,100%,25
Oppo Find X2 12GB256GB,6.7, 1440 x 3166 pixels,32,OS:Android 10.0; ColorOS: 7.1,256,12,4200, Li-Po,100%,14
Realme X3 SuperZoom 12GB256GB,6.6, 1080 x 2400 pixels,32,OS:Android 10; Realme UI,256,12,4200, Li-Po,100%,6
Samsung Galaxy Note 20 Ultra 5G 12GB512GB,6.9, 1440 x 3088 pixels,10,OS:Android 10; One UI 2.1,512,12,4500, Li-Ion,100%,21
Samsung Galaxy Note 20 Ultra 5G 12GB256GB,6.9, 1440 x 3088 pixels,10,OS:Android 10; One UI 2.1,256,12,4500, Li-Ion,100%,17
Samsung Galaxy Note 20 Ultra 5G 12GB128GB,6.9, 1440 x 3088 pixels,10,OS:Android 10; One UI 2.1,128,12,4500, Li-Ion,100%,9
OnePlus Nord 12GB256GB,6.44, 1080 x 2400 pixels,32,OS:Android 10.0; OxygenOS: 10.0,256,12,4115, Li-Po,100%,8
OnePlus 8 Pro 12GB256GB,6.78, 1440 x 3168 pixels,16,OS:Android 10.0; OxygenOS: 10.0,256,12,4510, Li-Po,100%,17
OnePlus 8 12GB256GB,6.55, 1080 x 2400 pixels,16,OS:Android 10.0; OxygenOS: 10.0,256,12,4300, Li-Po,100%,10
OnePlus 7T Pro 12GB256GB,6.67, 1440 x 3120 pixels,16,OS:Android 10.0; OxygenOS: 10.0.4,256,12,4085, Li-Po,100%,23
OnePlus 7 Pro 256GB 12GB,6.67, 1440 x 3120 pixels,16,OS:Android 9.0 Pie; EMUI 9.1,256,12,4000, Li-Po,100%,56
Xiaomi Mi 10 5G 12GB256GB,6.67, 1080 x 2340 pixels,20,OS:Android 10; MIUI 11,256,12,4780, Li-Po,100%,11
Samsung Galaxy S10 S10 Plus 1TB 12GB,6.4, 1440 x 3040 pixels,10, DualOS:Android 9.0 Pie,1TB,12,4100, Li-Ion,78%,44
Samsung Galaxy Fold,7.3, 1536 x 2152 pixels,10,OS:Android 9.0 Pie,512,12,"4,380", Li-Po,100%,23
Samsung Galaxy S10 S10 Plus 128GB 8GB,6.4, 1440 x 3040 pixels,10,OS:Android 9.0 Pie,512,12,"4,380", Li-Po,78%,72
Samsung Galaxy A2 Core,5, 540 x 960 pixels,5,OS:Android 8.0 Oreo; Go Edition,8,1,2600, Li-Ion,40%,17
Lenovo Phab,6.98, 720 x 1280 pixels,5,OS:Android 5.1 Lollipop,16,1,4250, Li-Po,41%,2
Tecno Spark 2,6, 720 x 1440 pixels,8,OS:Android 8.1 Oreo,16,1,3500, Li-Ion,40%,172
Tecno F2 LTE,5, 854 x 480 pixels,5,OS:Android 8.1 Oreo,8,1,2400, Li-Ion,29%,22
Tecno Pouvoir 1,5.5, 720 x 1280 pixels,5,OS:Android 7.0 Nougat,16,1,5000, Li-Po,41%,21
Tecno F3 POP 1,5.5, 960 x 480 pixels,5,OS:Android 7.0 Nougat,8,1,2400, Li-Ion,29%,38
Tecno F2,5, 854 x 480 pixels,2,OS:Android 7.0 Nougat,8,1,2000, Li-Ion,28%,38
Tecno Spark Pro K8,5.5, 720 x 1280 pixels,8,OS:Android 7.0 Nougat,16,1,3000, Li-Ion,38%,77
Cubot Rainbow,5, 720 x 1280 pixels,5,OS:Android 6.0 Marshmallow,16,1,2200, Li-Po,37%,16
Nokia 1 Plus 16GB,5.45, 480 x 960 pixels,5,OS:Android 9.0 Pie (Go edition),16,1,2500, Li-Ion,34%,6
Nokia 1 Plus 8GB,5.45, 480 x 960 pixels,5,OS:Android 9.0 Pie (Go edition),8,1,2500, Li-Ion,33%,6
Nokia 21,5.5, 720 x 1280 pixels,5,OS:Android 8.1 Oreo,8,1,4000, Li-Ion,38%,38
Nokia 1,4.5, 480 x 854 pixels,2,OS:Android Go,8,1,1800, Li-Ion,26%,17
Nokia 2,5, 720 x 1280 pixels,5,OS:Android 7.1.1 Nougat,8,1,4100, Li-Ion,38%,42
Apple iPhone 5s 16GB,4, 640 x 1136 pixels,1.2,OS:iOS: 7,16,1,1560, Li-Po,29%,39
Apple iPhone 6 Plus 64GB,5.5, 1080 x 1920 pixels,1.2,OS:iOS: 8,64,1,2915, Li-Po,37%,49
Samsung Galaxy A3 Core 1GB16GB,5.3, 720 x 1480 pixels,5,OS:Android 10.0; Go edition,16,1,3000, Li-Ion,37%,14
Samsung Galaxy A01 Core 1GB16GB,5.3, 720 x 1480 pixels,5,OS:Android 10.0; Go edition,16,1,3000, Li-Ion,37%,3
Samsung Galaxy J2 Core 2020 1GB16GB,5, 540 x 960 pixels,5,OS:Android 8.1 Oreo (Android Go),16,1,2600, Li-Ion,34%,6
Huawei Y3 2017,5, 480 x 854 pixels,2,OS:Android 6.0 Marshmallow,8,1,2200, Li-Ion,30%,5
Lava Iris 51 1GB8GB,5, 480 x 854 pixels,5,OS:Android 8.1 Oreo; Go Edition,8,1,2500, Li-Ion,32%,13
Lava Iris 42 1GB8GB,5, 480 x 854 pixels,2,OS:Android 8.1 Oreo; Go Edition,8,1,2000, Li-Ion,28%,24
Lava Z50 Pro 4G,4.5, 480 x 854 pixels,5,OS:Android Oreo; Go Edition,8,1,2000, Li-Po,28%,7
Infinix Smart 3 1GB16GB,5.5, 720 x 1440 pixels,8,OS:Android 9.0 Pie; Go Edition,16,1,3050, Li-Po,43%,72
Samsung Galaxy J4 Core,6, 720 x 1480 pixels,5,OS:Android 8.1 Oreo,16,1,3300, Li-Ion,36%,15
Samsung Galaxy J2 Core 2018,5, 540 x 960 pixels,5,OS:Android 8.1 Oreo (Android Go),8,1,2600, Li-Ion,33%,15
Xiaomi Redmi Go,5, 720 x 1280 pixels,5,OS:Android 8.1 Oreo,8,1,3000, Li-Ion,36%,8
Tecno Camon CX 32GB,5.5, 1080 x 1920 pixels,16,OS:Android 7.0 Nougat,32,2,3200, Li-Po,53%,35
Tecno Boom J8,5.5, 720 x 1280 pixels,5,OS:Android 5.1 Lollipop,16,2,3000, Li-Ion,46%,69
Tecno L8 Plus,5.5, 720 x 1280 pixels,2,OS:Android 5.1 Lollipop,16,2,5050, Li-Po,43%,17
Tecno Camon C7,5, 720 x 1280 pixels,13,OS:Android 6.0 Marshmallow,16,2,2500, Li-Ion,39%,41
Tecno Camon C9,5.5, 1080 x 1920 pixels,13,OS:Android 6.0 Marshmallow,16,2,3000, Li-Ion,48%,62
Xiaomi Mi Max 16 GB,6.44, 1080 x 1920 pixels,5,OS:Android 6.0 Marshmallow,16,2,4850, Li-Ion,55%,6
Xiaomi Redmi 4a 32 GB,5, 720 x 1280 pixels,5,OS:Android 6.0.1 Marshmallow,32,2,3120, Li-Ion,43%,5
Xiaomi Redmi 4a 16 GB,5, 720 x 1280 pixels,5,OS:Android 6.0.1 Marshmallow,16,2,3120, Li-Ion,42%,6
Nokia 5,5.2, 720 x 1280 pixels,8,OS:Android 7.1.1 Nougat,16,2,3000, Li-Ion,47%,26
Apple iPhone 6s Plus 128 GB,5.5, 1080 x 1920 pixels,5,OS:iOS: 9,128,2,2750, Li-Ion,48%,38
Tecno L9 Plus,6, 720 x 1280 pixels,5,OS:Android 7.0 Nougat,16,2,5000, Li-Ion,46%,124
Tecno Camon CX Air,5.5, 720 x 1280 pixels,13,OS:Android 7.0 Nougat,16,2,3200, Li-Po,41%,100
Tecno Camon CX,5.5, 1080 x 1920 pixels,16,OS:Android 7.0 Nougat,16,2,3200, Li-Po,52%,104
Tecno Spark Plus K9,6, 720 x 1280 pixels,5,OS:Android 7.0 Nougat,16,2,3400, Li-Ion,48%,147
Nokia 3,5, 720 x 1280 pixels,8,OS:Android 7.0 Nougat,16,2,2630, Li-Ion,37%,27
HTC E9,5.5, 1080 x 1920 pixels,4,OS:Android 5.0 Lollipop,16,2,2800, Li-Po,52%,6
HTC Desire 630,5, 720 x 1280 pixels,5,OS:Android 6.0 Marshmallow,16,2,2200, Li-Ion,40%,4
HTC Desire 728,5.5, 720 x 1280 pixels,5,OS:Android 5.1.1 Lollipop,16,2,2800, Li-Po,45%,6
HTC One A9 16 GB,5, 1080 x 1920 pixels,4,OS:Android 6.0 Marshmallow,16,2,2150, Li-Ion,48%,3
LG Nexus 5X 32 GB,5.2, 1080 x 1920 pixels,5,OS:Android 6.0 Marshmallow,32,2,2700, Li-Po,48%,6
LG Nexus 5X 16 GB,5.2, 1080 x 1920 pixels,5,OS:Android 6.0 Marshmallow,16,2,2700, Li-Po,47%,4
LG G3 16 GB,5.5, 1440 x 2560 pixels,2.1,OS:Android 4.4.2 Kitkat,16,2,3000, Li-Ion,52%,4
HTC One S9,5, 1080 x 1920 pixels,4,OS:Android OS:,16,2,2840, Li-Ion,52%,2
Huawei G8 16 GB,5.5, 1080 x 1920 pixels,5,OS:Android 5.1 Lollipop,16,2,3000, Li-Ion,49%,5
Huawei P9 Lite 2 GB RAM,5.2, 1080 x 1920 pixels,8,OS:Android 6.0 Marshmallow,16,2,3000, Li-Ion,53%,9
Huawei P8 Lite,5, 720 x 1280 pixels,5,OS:Android 5.0.2 Lollipop,16,2,2200, Li-Ion,44%,31
Huawei GR5,5.5, 1080 x 1920 pixels,5,OS:Android 5.1.1 Lollipop,16,2,3000, Li-Ion,49%,5
Huawei GR3,5, 720 x 1280 pixels,5,OS:Android 5.1.1 Lollipop,16,2,2200, Li-Ion,45%,8
Huawei Y6 Pro,5, 720 x 1280 pixels,5,OS:Android 5.1.1 Lollipop,16,2,4000, Li-Po,44%,7
Huawei Y6 II,5.5, 720 x 1280 pixels,8,OS:Android 6.0 Marshmallow,16,2,3000, Li-Ion,45%,12
Samsung Galaxy A11 2GB32GB,6.4, 720 x 1560 pixels,8,OS:Android 10,32,2,4000, Li-Po,53%,16
