REGION,COUNTRY,PNET ID,Partner Tier,GSI (Y/N),High Touch (Y/N),Veritas Partners,Stakeholder type,"Areas of Support
",Activity type,"Activity 
Date
DD/MM/YYYY",Notes category,Notes (free text)
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,Non Marketing,Emails,1/7/2021,General,Training for Anise : Folder creation
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,Non Marketing,Emails,1/7/2021,General,Training for Anise : Claim reminders
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,PRM related activities,Emails,1/7/2021,General,Tommy on reminders sent to partner on claims
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,Non Marketing,Emails,1/7/2021,General,Request access for Anise into approving L1 for ASR and PAR
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas APJ,Non Marketing,Emails,1/7/2021,General,"Share SuperCharge reporting request to Matt Blades, arrange for walkthrough."
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,Regional Reporting,Emails,1/7/2021,General,ASR Weekly reporting
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas APJ,Non Marketing,Emails,1/7/2021,General,"Share SuperCharge reporting request to Matt Blades, arrange for walkthrough."
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas APJ,Regional Reporting,Emails,2/7/2021,General,Highlight Topline ROI report to adjust - Manoj
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,Non Marketing,Emails,2/7/2021,General,Forward Anise daily repors
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,Non Marketing,Emails,5/7/2021,General,FX Rate training for Anise
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas APJ,Regional Reporting,Emails,5/7/2021,General,Highlight ORR Open pipeline with dates 2 weeks old
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,VPDF Planning,Emails,5/7/2021,General,Forward Alex logic on VPDF Tagging
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas APJ,Regional Reporting,Emails,5/7/2021,General,Troubleshoot Topline MB report view with Alex and Cherise
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,Non Marketing,Emails,5/7/2021,General,Branding training with Anise
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,Non Marketing,Emails,5/7/2021,General,Branding training with Anise - Sample
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,Non Marketing,Emails,5/7/2021,General,Branding training with Anise - Sample2
