Phone Title,Screensize,resolution,FrontCam,OS,StorageMB,RAM,Battery mAh,Type,Specs Score,Likes
Samsung Galaxy Grand Prime Pro,5, 540 x 960 pixels,5,OS:Android 7.1.1 Nougat,16,1.5,2600, Li-Ion,34%,25
Samsung Galaxy Grand Prime Plus,5, 540 x 960 pixels,5,OS:Android 6.0 Marshmallow,8,1.5,2600, Li-Ion,34%,13
Samsung Galaxy S20 Ultra,6.9, 1440 x 3200 pixels,40,OS:Android 10.0; One UI 2,128,12,5000, Li-Po,100%,70
Samsung Galaxy Note 10 Note 10 Plus 5G 12GB51,6.8, 1440 x 3040 pixels,10,OS:Android 9.0 Pie; One UI,512,12,4300, Li-Ion,100%,34
Samsung Galaxy Note 10 Note 10 Plus 5G 12GB25,6.8, 1440 x 3040 pixels,10,OS:Android 9.0 Pie; One UI,256,12,4300, Li-Ion,92%,73
Samsung Galaxy Note 10 Note 10 Plus 12GB512GB,6.8, 1440 x 3040 pixels,10,OS:Android 9.0 Pie; One UI,512,12,4300, Li-Ion,100%,30
Samsung Galaxy Note 10 Note 10 Plus 12GB256GB,6.8, 1440 x 3040 pixels,10,OS:Android 9.0 Pie; One UI,256,12,4300, Li-Ion,92%,53
Samsung Galaxy Note 10 5G 12GB256GB,6.3, 1080 x 2280 pixels,10,OS:Android 9.0 Pie; One UI,256,12,3500, Li-Ion,88%,11
Samsung Galaxy Note 20 Ultra 5G 12GB512GB,6.9, 1440 x 3088 pixels,10,OS:Android 10; One UI 2.1,512,12,4500, Li-Ion,100%,21
Samsung Galaxy Note 20 Ultra 5G 12GB256GB,6.9, 1440 x 3088 pixels,10,OS:Android 10; One UI 2.1,256,12,4500, Li-Ion,100%,17
Samsung Galaxy Note 20 Ultra 5G 12GB128GB,6.9, 1440 x 3088 pixels,10,OS:Android 10; One UI 2.1,128,12,4500, Li-Ion,100%,9
Samsung Galaxy S10 S10 Plus 1TB 12GB,6.4, 1440 x 3040 pixels,10, DualOS:Android 9.0 Pie,1TB,12,4100, Li-Ion,78%,44
Samsung Galaxy Fold,7.3, 1536 x 2152 pixels,10,OS:Android 9.0 Pie,512,12,"4,380", Li-Po,100%,23
Samsung Galaxy S10 S10 Plus 128GB 8GB,6.4, 1440 x 3040 pixels,10,OS:Android 9.0 Pie,512,12,"4,380", Li-Po,78%,72
Samsung Galaxy A2 Core,5, 540 x 960 pixels,5,OS:Android 8.0 Oreo; Go Edition,8,1,2600, Li-Ion,40%,17
Samsung Galaxy A3 Core 1GB16GB,5.3, 720 x 1480 pixels,5,OS:Android 10.0; Go edition,16,1,3000, Li-Ion,37%,14
Samsung Galaxy A01 Core 1GB16GB,5.3, 720 x 1480 pixels,5,OS:Android 10.0; Go edition,16,1,3000, Li-Ion,37%,3
Samsung Galaxy J2 Core 2020 1GB16GB,5, 540 x 960 pixels,5,OS:Android 8.1 Oreo (Android Go),16,1,2600, Li-Ion,34%,6
Samsung Galaxy J4 Core,6, 720 x 1480 pixels,5,OS:Android 8.1 Oreo,16,1,3300, Li-Ion,36%,15
Samsung Galaxy J2 Core 2018,5, 540 x 960 pixels,5,OS:Android 8.1 Oreo (Android Go),8,1,2600, Li-Ion,33%,15
Samsung Galaxy A11 2GB32GB,6.4, 720 x 1560 pixels,8,OS:Android 10,32,2,4000, Li-Po,53%,16
