Phone Title,Screensize,resolution,FrontCam,OS,StorageMB,RAM,Battery mAh,Type,Specs Score,Likes
Apple iPhone 5s 16GB,4, 640 x 1136 pixels,1.2,OS:iOS: 7,16,1,1560, Li-Po,29%,39
Apple iPhone 6 Plus 64GB,5.5, 1080 x 1920 pixels,1.2,OS:iOS: 8,64,1,2915, Li-Po,37%,49
Apple iPhone 6s Plus 128 GB,5.5, 1080 x 1920 pixels,5,OS:iOS: 9,128,2,2750, Li-Ion,48%,38
Apple iPhone SE 2020 256GB,4.7, 750 x 1334 pixels,7,OS:iOS: 13,256,3,1821, Li-Ion,63%,16
Apple iPhone SE 2020 128GB,4.7, 750 x 1334 pixels,7,OS:iOS: 13,128,3,1821, Li-Ion,56%,27
Apple iPhone SE 2020 64GB,4.7, 750 x 1334 pixels,7,OS:iOS: 13,64,3,1821, Li-Ion,52%,23
Apple iPhone 11 Pro Max 512GB,6.5, 1242 x 2688 pixels,12, DualOS:iOS: 13,512,4,3500, Li-Ion,65%,58
Apple iPhone 11 Pro Max 256GB,6.5, 1242 x 2688 pixels,12, DualOS:iOS: 13,256,4,3500, Li-Ion,51%,91
Apple iPhone 11 Pro Max 64GB,6.5, 1242 x 2688 pixels,12, DualOS:iOS: 13,64,4,3500, Li-Ion,40%,49
Apple iPhone 11 Pro 512GB,5.8, 1125 x 2436 pixels,12, DualOS:iOS: 13,512,4,3190, Li-Ion,64%,29
Apple iPhone 11 Pro 256GB,5.8, 1125 x 2436 pixels,12, DualOS:iOS: 13,256,4,3190, Li-Ion,50%,38
Apple iPhone 11 Pro 64GB,5.8, 1125 x 2436 pixels,12, DualOS:iOS: 13,64,4,3190, Li-Ion,39%,67
Apple iPhone 11 256GB,6.1, 828 x 1792 pixels,12, DualOS:iOS: 13,256,4,3110, Li-Ion,48%,29
Apple iPhone 11 128GB,6.1, 828 x 1792 pixels,12, DualOS:iOS: 13,128,4,3110, Li-Ion,40%,44
Apple iPhone 11 64GB,6.1, 828 x 1792 pixels,12, DualOS:iOS: 13,64,4,3110, Li-Ion,37%,71
